hospital_name,last_updated_on,version,location_name,hospital_address,type_2_npi,license_number|FL,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name,,,,,,,,,,,,,,,,,,
Postoperative Or Post-Traumatic Infections With O.R. Procedures With Cc,857,MS-DRG,,,,,facility,inpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,,,[Stop Loss: Length of Stay > 18 days | Excess % of Charge: 9558] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative Or Post-Traumatic Infections With O.R. Procedures With Cc,857,MS-DRG,,,,,facility,inpatient,,,,,,Unitedhealthcare,Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative Or Post-Traumatic Infections With O.R. Procedures With Cc,857,MS-DRG,,,,,facility,inpatient,,,,,,Cigna,Hmo,,52,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Postoperative Or Post-Traumatic Infections With O.R. Procedures With Cc,857,MS-DRG,,,,,facility,inpatient,,,,,,Cigna,Ppo,,60,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Postoperative Or Post-Traumatic Infections With O.R. Procedures With Cc,857,MS-DRG,,,,,facility,inpatient,,,,,,Evolutions Healthcare,Select Ppo,,90,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Postoperative Or Post-Traumatic Infections With O.R. Procedures With Cc,857,MS-DRG,,,,,facility,inpatient,,,,,,Multiplan,All Commercial Plans,,78,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Postoperative Or Post-Traumatic Infections With O.R. Procedures With Cc,857,MS-DRG,,,,,facility,inpatient,,,,,,Phcs,All Commercial Plans,,68,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Postoperative Or Post-Traumatic Infections With O.R. Procedures Without Cc/Mcc,858,MS-DRG,,,,,facility,inpatient,,,,,,Aetna,All Commercial Plans,43756.56,,,,,,,fee schedule,37941.2,56911.11,
Postoperative Or Post-Traumatic Infections With O.R. Procedures Without Cc/Mcc,858,MS-DRG,,,,,facility,inpatient,,,,,,Bcbs,Tier 1 All Commercial Plans,37941.2,,,,,,,fee schedule,37941.2,56911.11,
Postoperative Or Post-Traumatic Infections With O.R. Procedures Without Cc/Mcc,858,MS-DRG,,,,,facility,inpatient,,,,,,Bcbs,Tier 2 All Commercial Plans,56911.11,,,,,,,fee schedule,37941.2,56911.11,
Postoperative Or Post-Traumatic Infections With O.R. Procedures Without Cc/Mcc,858,MS-DRG,,,,,facility,inpatient,,,,,,Unitedhealthcare,All Commercial Plans,43845.71,,,,,,,fee schedule,37941.2,56911.11,
Postoperative Or Post-Traumatic Infections With O.R. Procedures Without Cc/Mcc,858,MS-DRG,,,,,facility,inpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,39460.86,,,,,,,fee schedule,37941.2,56911.11,
Postoperative Or Post-Traumatic Infections With O.R. Procedures Without Cc/Mcc,858,MS-DRG,,,,,facility,inpatient,,,,,,Aetna,All Commercial Plans,,,[Stop Loss: Total Charges > 1096901 | Total % of Charge: 59.1] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 30000 (%BC): 54.1],30900.57,30900.57,30900.57,1 through 10,other,,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
Postoperative Or Post-Traumatic Infections With O.R. Procedures Without Cc/Mcc,858,MS-DRG,,,,,facility,inpatient,,,,,,Aetna,Better Health Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative Or Post-Traumatic Infections With O.R. Procedures Without Cc/Mcc,858,MS-DRG,,,,,facility,inpatient,,,,,,Bcbs,Tier 1 All Commercial Plans,,,[Stop Loss: Total Charges > 404043 | Excess % of Charge: 62.72] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [IP High Cost Drugs ($): FEE SCHEDULE],32935.37,32935.37,32935.37,1 through 10,other,,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
Postoperative Or Post-Traumatic Infections With O.R. Procedures Without Cc/Mcc,858,MS-DRG,,,,,facility,inpatient,,,,,,Bcbs,Tier 2 All Commercial Plans,,,[Stop Loss: Total Charges > 404043 | Excess % of Charge: 62.72] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [IP High Cost Drugs ($): FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative Or Post-Traumatic Infections With O.R. Procedures Without Cc/Mcc,858,MS-DRG,,,,,facility,inpatient,,,,,,Cigna,Baycare Other Commercial Plan,,,[Nursery Level 3 (%BC): 70] [Nursery  Level 4-NICU (%BC): 70] [IP High Cost Drugs (%BC): 70] [IP Prosthetics/Implants/Devices (%BC): 70] [All Other IP (%BC): 80],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative Or Post-Traumatic Infections With O.R. Procedures Without Cc/Mcc,858,MS-DRG,,,,,facility,inpatient,,,,,,Community Care Plan,Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative Or Post-Traumatic Infections With O.R. Procedures Without Cc/Mcc,858,MS-DRG,,,,,facility,inpatient,,,,,,Florida Community Care,Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative Or Post-Traumatic Infections With O.R. Procedures Without Cc/Mcc,858,MS-DRG,,,,,facility,inpatient,,,,,,Humana,Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative Or Post-Traumatic Infections With O.R. Procedures Without Cc/Mcc,858,MS-DRG,,,,,facility,inpatient,,,,,,Molina,Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative Or Post-Traumatic Infections With O.R. Procedures Without Cc/Mcc,858,MS-DRG,,,,,facility,inpatient,,,,,,Simply Health,Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative Or Post-Traumatic Infections With O.R. Procedures Without Cc/Mcc,858,MS-DRG,,,,,facility,inpatient,,,,,,Simply Health,Healthy Kids Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative Or Post-Traumatic Infections With O.R. Procedures Without Cc/Mcc,858,MS-DRG,,,,,facility,inpatient,,,,,,Sunshine Health,Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],12263.55,12263.55,12263.55,1 through 10,other,,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
Postoperative Or Post-Traumatic Infections With O.R. Procedures Without Cc/Mcc,858,MS-DRG,,,,,facility,inpatient,,,,,,Unitedhealthcare,All Commercial Plans,,,[Stop Loss: Length of Stay > 18 days | Excess % of Charge: 10621] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative Or Post-Traumatic Infections With O.R. Procedures Without Cc/Mcc,858,MS-DRG,,,,,facility,inpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,,,[Stop Loss: Length of Stay > 18 days | Excess % of Charge: 9558] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative Or Post-Traumatic Infections With O.R. Procedures Without Cc/Mcc,858,MS-DRG,,,,,facility,inpatient,,,,,,Unitedhealthcare,Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative Or Post-Traumatic Infections With O.R. Procedures Without Cc/Mcc,858,MS-DRG,,,,,facility,inpatient,,,,,,Cigna,Hmo,,52,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Postoperative Or Post-Traumatic Infections With O.R. Procedures Without Cc/Mcc,858,MS-DRG,,,,,facility,inpatient,,,,,,Cigna,Ppo,,60,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Postoperative Or Post-Traumatic Infections With O.R. Procedures Without Cc/Mcc,858,MS-DRG,,,,,facility,inpatient,,,,,,Evolutions Healthcare,Select Ppo,,90,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Postoperative Or Post-Traumatic Infections With O.R. Procedures Without Cc/Mcc,858,MS-DRG,,,,,facility,inpatient,,,,,,Multiplan,All Commercial Plans,,78,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Postoperative Or Post-Traumatic Infections With O.R. Procedures Without Cc/Mcc,858,MS-DRG,,,,,facility,inpatient,,,,,,Phcs,All Commercial Plans,,68,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections With Mcc,862,MS-DRG,,,,,facility,inpatient,,,,,,Aetna,All Commercial Plans,57289.71,,,,,,,fee schedule,49675.76,74512.73,
Postoperative And Post-Traumatic Infections With Mcc,862,MS-DRG,,,,,facility,inpatient,,,,,,Bcbs,Tier 1 All Commercial Plans,49675.76,,,,,,,fee schedule,49675.76,74512.73,
Postoperative And Post-Traumatic Infections With Mcc,862,MS-DRG,,,,,facility,inpatient,,,,,,Bcbs,Tier 2 All Commercial Plans,74512.73,,,,,,,fee schedule,49675.76,74512.73,
Postoperative And Post-Traumatic Infections With Mcc,862,MS-DRG,,,,,facility,inpatient,,,,,,Unitedhealthcare,All Commercial Plans,57406.43,,,,,,,fee schedule,49675.76,74512.73,
Postoperative And Post-Traumatic Infections With Mcc,862,MS-DRG,,,,,facility,inpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,51665.42,,,,,,,fee schedule,49675.76,74512.73,
Postoperative And Post-Traumatic Infections With Mcc,862,MS-DRG,,,,,facility,inpatient,,,,,,Aetna,All Commercial Plans,,,[Stop Loss: Total Charges > 1096901 | Total % of Charge: 59.1] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 30000 (%BC): 54.1],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections With Mcc,862,MS-DRG,,,,,facility,inpatient,,,,,,Aetna,Better Health Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections With Mcc,862,MS-DRG,,,,,facility,inpatient,,,,,,Bcbs,Tier 1 All Commercial Plans,,,[Stop Loss: Total Charges > 404043 | Excess % of Charge: 62.72] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [IP High Cost Drugs ($): FEE SCHEDULE],48229.57,48229.57,48229.57,1 through 10,other,,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
Postoperative And Post-Traumatic Infections With Mcc,862,MS-DRG,,,,,facility,inpatient,,,,,,Bcbs,Tier 2 All Commercial Plans,,,[Stop Loss: Total Charges > 404043 | Excess % of Charge: 62.72] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [IP High Cost Drugs ($): FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections With Mcc,862,MS-DRG,,,,,facility,inpatient,,,,,,Cigna,Baycare Other Commercial Plan,,,[Nursery Level 3 (%BC): 70] [Nursery  Level 4-NICU (%BC): 70] [IP High Cost Drugs (%BC): 70] [IP Prosthetics/Implants/Devices (%BC): 70] [All Other IP (%BC): 80],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections With Mcc,862,MS-DRG,,,,,facility,inpatient,,,,,,Community Care Plan,Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections With Mcc,862,MS-DRG,,,,,facility,inpatient,,,,,,Florida Community Care,Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections With Mcc,862,MS-DRG,,,,,facility,inpatient,,,,,,Humana,Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections With Mcc,862,MS-DRG,,,,,facility,inpatient,,,,,,Molina,Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections With Mcc,862,MS-DRG,,,,,facility,inpatient,,,,,,Simply Health,Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],28315.4,28315.4,28315.4,1 through 10,other,,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
Postoperative And Post-Traumatic Infections With Mcc,862,MS-DRG,,,,,facility,inpatient,,,,,,Simply Health,Healthy Kids Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections With Mcc,862,MS-DRG,,,,,facility,inpatient,,,,,,Sunshine Health,Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],9092.7,9092.7,9092.7,1 through 10,other,,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
Postoperative And Post-Traumatic Infections With Mcc,862,MS-DRG,,,,,facility,inpatient,,,,,,Unitedhealthcare,All Commercial Plans,,,[Stop Loss: Length of Stay > 18 days | Excess % of Charge: 10621] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections With Mcc,862,MS-DRG,,,,,facility,inpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,,,[Stop Loss: Length of Stay > 18 days | Excess % of Charge: 9558] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections With Mcc,862,MS-DRG,,,,,facility,inpatient,,,,,,Unitedhealthcare,Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections With Mcc,862,MS-DRG,,,,,facility,inpatient,,,,,,Cigna,Hmo,,52,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections With Mcc,862,MS-DRG,,,,,facility,inpatient,,,,,,Cigna,Ppo,,60,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections With Mcc,862,MS-DRG,,,,,facility,inpatient,,,,,,Evolutions Healthcare,Select Ppo,,90,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections With Mcc,862,MS-DRG,,,,,facility,inpatient,,,,,,Multiplan,All Commercial Plans,,78,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections With Mcc,862,MS-DRG,,,,,facility,inpatient,,,,,,Phcs,All Commercial Plans,,68,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections Without Mcc,863,MS-DRG,,,,,facility,inpatient,,,,,,Aetna,All Commercial Plans,31348.03,,,,,,,fee schedule,27181.8,40772.2,
Postoperative And Post-Traumatic Infections Without Mcc,863,MS-DRG,,,,,facility,inpatient,,,,,,Bcbs,Tier 1 All Commercial Plans,27181.8,,,,,,,fee schedule,27181.8,40772.2,
Postoperative And Post-Traumatic Infections Without Mcc,863,MS-DRG,,,,,facility,inpatient,,,,,,Bcbs,Tier 2 All Commercial Plans,40772.2,,,,,,,fee schedule,27181.8,40772.2,
Postoperative And Post-Traumatic Infections Without Mcc,863,MS-DRG,,,,,facility,inpatient,,,,,,Unitedhealthcare,All Commercial Plans,31411.9,,,,,,,fee schedule,27181.8,40772.2,
Postoperative And Post-Traumatic Infections Without Mcc,863,MS-DRG,,,,,facility,inpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,28270.51,,,,,,,fee schedule,27181.8,40772.2,
Postoperative And Post-Traumatic Infections Without Mcc,863,MS-DRG,,,,,facility,inpatient,,,,,,Aetna,All Commercial Plans,,,[Stop Loss: Total Charges > 1096901 | Total % of Charge: 59.1] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 30000 (%BC): 54.1],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections Without Mcc,863,MS-DRG,,,,,facility,inpatient,,,,,,Aetna,Better Health Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections Without Mcc,863,MS-DRG,,,,,facility,inpatient,,,,,,Bcbs,Tier 1 All Commercial Plans,,,[Stop Loss: Total Charges > 404043 | Excess % of Charge: 62.72] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [IP High Cost Drugs ($): FEE SCHEDULE],26390.46,26390.46,26390.46,1 through 10,other,,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
Postoperative And Post-Traumatic Infections Without Mcc,863,MS-DRG,,,,,facility,inpatient,,,,,,Bcbs,Tier 2 All Commercial Plans,,,[Stop Loss: Total Charges > 404043 | Excess % of Charge: 62.72] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [IP High Cost Drugs ($): FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections Without Mcc,863,MS-DRG,,,,,facility,inpatient,,,,,,Cigna,Baycare Other Commercial Plan,,,[Nursery Level 3 (%BC): 70] [Nursery  Level 4-NICU (%BC): 70] [IP High Cost Drugs (%BC): 70] [IP Prosthetics/Implants/Devices (%BC): 70] [All Other IP (%BC): 80],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections Without Mcc,863,MS-DRG,,,,,facility,inpatient,,,,,,Community Care Plan,Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections Without Mcc,863,MS-DRG,,,,,facility,inpatient,,,,,,Florida Community Care,Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections Without Mcc,863,MS-DRG,,,,,facility,inpatient,,,,,,Humana,Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections Without Mcc,863,MS-DRG,,,,,facility,inpatient,,,,,,Molina,Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections Without Mcc,863,MS-DRG,,,,,facility,inpatient,,,,,,Simply Health,Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections Without Mcc,863,MS-DRG,,,,,facility,inpatient,,,,,,Simply Health,Healthy Kids Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections Without Mcc,863,MS-DRG,,,,,facility,inpatient,,,,,,Sunshine Health,Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],6700.33,6700.33,6700.33,1 through 10,other,,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
Postoperative And Post-Traumatic Infections Without Mcc,863,MS-DRG,,,,,facility,inpatient,,,,,,Unitedhealthcare,All Commercial Plans,,,[Stop Loss: Length of Stay > 18 days | Excess % of Charge: 10621] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections Without Mcc,863,MS-DRG,,,,,facility,inpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,,,[Stop Loss: Length of Stay > 18 days | Excess % of Charge: 9558] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections Without Mcc,863,MS-DRG,,,,,facility,inpatient,,,,,,Unitedhealthcare,Medicaid Managed Care Plan,,,[Stop Loss: Total Charges > FeeSchedule | Excess % of Charge: 14.3244] [Lesser Than Charges paid at %: 100] [APR DRG Base Rate: FEE SCHEDULE],,,,0,other,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections Without Mcc,863,MS-DRG,,,,,facility,inpatient,,,,,,Cigna,Hmo,,52,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections Without Mcc,863,MS-DRG,,,,,facility,inpatient,,,,,,Cigna,Ppo,,60,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections Without Mcc,863,MS-DRG,,,,,facility,inpatient,,,,,,Evolutions Healthcare,Select Ppo,,90,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections Without Mcc,863,MS-DRG,,,,,facility,inpatient,,,,,,Multiplan,All Commercial Plans,,78,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Postoperative And Post-Traumatic Infections Without Mcc,863,MS-DRG,,,,,facility,inpatient,,,,,,Phcs,All Commercial Plans,,68,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Fever And Inflammatory Conditions,864,MS-DRG,,,,,facility,inpatient,,,,,,Aetna,All Commercial Plans,27886.21,,,,,,,fee schedule,24180.06,36269.65,
Fever And Inflammatory Conditions,864,MS-DRG,,,,,facility,inpatient,,,,,,Bcbs,Tier 1 All Commercial Plans,24180.06,,,,,,,fee schedule,24180.06,36269.65,
Fever And Inflammatory Conditions,864,MS-DRG,,,,,facility,inpatient,,,,,,Bcbs,Tier 2 All Commercial Plans,36269.65,,,,,,,fee schedule,24180.06,36269.65,
Fever And Inflammatory Conditions,864,MS-DRG,,,,,facility,inpatient,,,,,,Unitedhealthcare,All Commercial Plans,27943.02,,,,,,,fee schedule,24180.06,36269.65,
Fever And Inflammatory Conditions,864,MS-DRG,,,,,facility,inpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,25148.54,,,,,,,fee schedule,24180.06,36269.65,
