hospital_name,last_updated_on,version,location_name,hospital_address,type_2_npi,license_number|MD,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name,,,,,,,,,,,,,,,,,,
Level 1 Skin Procedures,5051,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Other Commercial Plan,,100,,428.56,315.67,2901.17,25,percent of total billed charges,,,
Level 1 Skin Procedures,5051,APC,,,,,facility,outpatient,,,,,,Bcbs,All Commercial Plans,,100,,370.4,93.7,738.03,29,percent of total billed charges,,,
Level 1 Skin Procedures,5051,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Medicaid Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Level 1 Skin Procedures,5051,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Level 1 Skin Procedures,5051,APC,,,,,facility,outpatient,,,,,,Bcbs,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Level 1 Skin Procedures,5051,APC,,,,,facility,outpatient,,,,,,Cigna,All Commercial Plans,,100,,133.7,128.48,441.82,1 through 10,percent of total billed charges,,,
Level 1 Skin Procedures,5051,APC,,,,,facility,outpatient,,,,,,Cigna,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Level 1 Skin Procedures,5051,APC,,,,,facility,outpatient,,,,,,Ehp,Employee,,100,,396.63,90.87,1022.56,11,percent of total billed charges,,,
Level 1 Skin Procedures,5051,APC,,,,,facility,outpatient,,,,,,Ehp,Medicare Managed Care Plan,,92.3,,81.97,81.97,94.21,1 through 10,percent of total billed charges,,,
Level 1 Skin Procedures,5051,APC,,,,,facility,outpatient,,,,,,Humana,Medicare Managed Care Plan,,92.3,,381.82,381.82,659.55,1 through 10,percent of total billed charges,,,
Level 1 Skin Procedures,5051,APC,,,,,facility,outpatient,,,,,,Humana,Military Tricare Government,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
Level 1 Skin Procedures,5051,APC,,,,,facility,outpatient,,,,,,Priority Partners,Medicaid Managed Care Plan,,92.3,,383.96,329.02,567.76,21,percent of total billed charges,,,
Level 1 Skin Procedures,5051,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicare Managed Care Plan,,92.3,,368.13,368.13,368.13,1 through 10,percent of total billed charges,,,
Level 1 Skin Procedures,5051,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,,100,,688.15,381.01,866.82,1 through 10,percent of total billed charges,,,
